name,birth,age,recept_balance,trade_term
이입의,1992-02-03,39,9658846,2
박강학,1994-01-01,61,3885329,17
박각창,1956-12-25,53,3070251,2
손루염,1966-09-29,30,527308,1
김옥후,1974-08-25,36,25872319,17
신루별,1953-06-25,47,4332436,15
신복녀,1985-01-03,53,3070251,5
박벽인,1962-03-12,49,6012616,11
최회재,1960-01-06,50,5123046,1
김서리,1961-09-19,68,52290,17
김슬휴,1993-03-31,60,9066969,10
장헌흥,1990-05-30,20,317036,8
김군죽,1986-04-02,60,23024255,4
홍춘협,1998-05-15,42,588961,10
오해민,1994-10-21,54,7185105,9
유승서,1979-06-21,62,737178,17
김삼락,1955-05-20,23,266501,15
안붕갑,1968-09-05,45,511856,4
황재회,1989-11-07,23,801181,17
김비윤,1955-04-29,46,825714,6
전새휴,1950-08-24,54,947226,17
정온국,1987-08-23,58,425508,8
성존건,1949-06-21,47,906030,19
박한차,1963-09-10,56,492838,15
양문단,1959-09-09,47,5161023,23
김래렬,1955-04-21,56,27927,6
한익래,1963-01-04,60,3539418,2
이능이,1953-03-04,47,347499,16
이탁표,1985-08-28,36,3108148,1
김중륜,1975-03-30,45,7177617,16
이풍건,1970-12-05,37,705330,14
허필애,1959-06-19,52,26801032,20
김숭분,1963-09-10,46,4483468,8
백익팔,1995-11-28,25,1937677,6
김평흠,1957-11-02,38,268686,2
박낙아,1962-12-18,31,692350,10
남타목,1996-11-28,45,4439805,11
김평람,1994-12-13,29,909789,17
유구염,1956-05-22,42,8621945,11
신종트,1983-10-03,71,823884,1
안장철,1980-08-21,50,416921,15
정복청,1963-09-15,60,521420,16
김갈포,1970-08-11,45,3701694,8
이관섭,1963-10-15,64,393070,1
허필애,1963-06-06,53,28222,19
조임삼,1949-07-06,45,963923,9
강채항,1967-10-25,66,630474,9
최행화,1973-11-03,69,876573,9
이생휘,1986-08-20,42,4582844,16
김낭돈,1960-02-05,34,249370,8
이존다,1972-11-30,45,3701694,4
황청군,1998-07-08,69,5099584,12
김환황,1967-11-13,44,1435893,5
권풍늠,1966-07-28,44,356838,7
고은환,1967-10-25,59,2563477,23
홍회표,1968-11-06,58,78431,10
염익충,1982-03-25,53,952357,4
김희풍,1980-12-03,57,2459237,9
김다도,1968-09-05,59,978837,13
이시령,1985-12-16,29,307166,10
정걸렬,1950-06-17,52,23024255,1
장용증,1969-01-10,30,329148,19
김복모,1953-01-28,53,648901,3
김치애,1993-06-03,50,904943,10
정항니,1977-05-05,43,864374,5
박돌이,1953-07-24,36,11992801,15
지설원,1966-10-03,56,925875,4
송부결,1953-07-06,62,875126,12
이존다,1976-08-03,24,7446825,9
정항니,1994-08-28,43,24943712,12
양지영,1993-06-20,58,875623,6
김원혁,1981-10-16,43,275476,15
정항니,1964-11-23,57,7081673,9
박몽윤,1967-09-19,46,545321,17
윤각관,1959-09-09,62,9434886,19
최무트,1960-01-01,57,46581,18
서마별,1982-04-25,62,206500,13
최흥샘,1986-05-13,24,800159,15
양요순,1971-11-02,31,28748062,12
김복일,1994-08-28,63,266726,5
윤판늠,1996-03-30,29,789450,5
이번빈,1985-04-27,34,25881913,14
신율대,1984-06-24,20,317036,7
윤회작,1950-01-07,47,5776936,3
염리애,1961-07-08,51,8773841,10
김련옥,1967-10-25,54,15060319,5
이루휴,1949-07-06,62,875126,16
김감효,1986-04-21,25,3146111,17
백재옥,1980-12-03,57,26844,20
우훈단,1961-12-24,64,62972422,5
임서월,1998-05-15,34,266304,5
김내내,1960-04-02,25,6512717,16
김오노,1951-07-22,37,277354,16
진돈육,1973-01-08,53,611891,11
이번빈,1961-04-30,46,531530,1
강국륜,1989-12-04,42,26620,20
김비작,1983-05-14,45,493590,19
신열겸,1984-02-01,58,972355,15
차승엽,1965-04-03,47,579364,7
김암철,1987-03-11,58,9285179,15
김휴건,1991-12-17,54,947226,5
김탁하,1967-02-21,59,425508,4
조용월,1995-12-06,57,4240661,17
김탁하,1989-09-03,34,5070377,14
김민율,1963-10-11,55,125104,1
이서원,1994-11-19,56,769310,2
정담남,1991-07-02,39,65947,2
김비작,1962-04-18,65,23207001,10
김좌염,1953-02-15,51,493590,4
김나공,1996-01-15,67,9112739,8
박화철,1994-03-16,44,743608,14
김엽붕,1970-12-10,55,957069,14
김솔제,1988-04-29,39,5237294,15
이기랑,1987-07-12,52,9382968,2
김면삼,1969-01-24,22,136204,17
이랑부,1982-04-25,64,829033,5
신엽다,1957-11-18,27,248993,6
김궁철,1956-07-18,44,590311,15
장헌흥,1962-03-03,24,19864,6
김팔생,1982-09-29,54,689448,1
변위풍,1995-08-09,43,3423922,6
이곤구,1992-06-13,50,9253175,14
김비윤,1992-11-03,48,6912711,8
이명준,1977-01-29,49,251564,1
이백아,1962-10-17,54,921442,13
임송달,1976-06-11,50,2355003,7
김철복,1949-06-21,41,245439,19
조향형,1958-04-06,70,661805,8
김덕융,1975-05-25,29,2717691,1
최요사,1956-01-22,70,739720,6
황재회,1966-02-28,52,644303,12
한익래,1990-03-27,35,304655,19
양사을,1987-03-12,26,959819,9
우웅모,1965-03-06,63,588698,18
엄앵교,1983-10-03,22,318644,3
정후표,1989-08-09,68,115997,11
한면랑,1964-04-19,39,653984,13
서년,1992-07-27,46,851265,5
윤항님,1978-09-06,52,4559120,17
김서소,1948-03-01,53,258933,17
윤진년,1957-04-09,37,8941414,11
김납용,1961-11-10,53,6189128,16
이서원,1976-08-03,40,429123,5
강화초,1990-03-14,29,26402854,9
김춘붕,1970-03-03,44,973030,9
오활출,1994-04-17,55,138285,7
강채항,1976-09-04,52,4559120,16
김견환,1972-05-22,57,88358,9
성라웅,1980-10-29,51,2799952,10
이하복,1967-11-13,70,836106,13
윤욱태,1962-11-25,42,8189142,5
이맹명,1988-05-31,42,884137,19
강막공,1966-09-14,68,4426458,3
심의순,1951-04-22,38,840937,20
김쾌천,1973-09-29,33,3946151,9
김문선,1973-09-29,69,7138181,1
이평안,1967-05-25,23,682794,6
박슬각,1990-03-27,32,850764,7
김칠년,1998-06-10,69,807390,9
박둘별,1972-03-18,50,589796,3
김납용,1958-09-26,70,807390,16
강교례,1964-08-10,59,7736475,6
이벽설,1996-09-07,24,867267,19
김세설,1964-02-17,43,275476,2
김공극,1995-08-09,45,147495,4
차면원,1996-02-01,49,718045,10
김난각,1976-04-08,38,223356,16
임각람,1981-10-16,56,952357,15
박수낭,1971-11-02,50,331111,9
안무효,1970-10-02,66,274489,17
김온완,1984-09-10,54,3301075,12
박웅랑,1976-07-27,36,900948,6
무의조,1949-07-06,45,3916040,7
이헌애,1964-02-17,25,6512717,14
정말향,1951-08-02,56,9300196,3
문실흥,1996-05-23,50,331111,7
이미양,1967-02-23,47,4614120,15
신항길,1955-03-04,68,6815864,11
이진돈,1955-05-20,57,28781,6
한초기,1997-03-14,45,542772,14
임운서,1987-09-03,54,3860266,6
박휴장,1999-11-11,46,6951875,18
임관모,1976-12-19,63,700108,7
김팔생,1953-02-09,54,29174749,16
이학억,1974-01-13,28,610752,15
서원명,1973-11-03,57,334335,9
장내철,1956-07-18,54,717265,14
김후명,1951-12-07,39,845245,11
김궁님,1954-07-29,25,309961,20
유청종,1976-12-19,70,2661621,7
김은률,1992-06-13,37,45108,6
김원혁,1992-10-17,23,406997,17
조임삼,1973-03-06,60,600256,4
모노내,1968-05-12,23,787361,7
이미양,1987-11-25,57,647602,5
김석계,1952-04-03,34,990950,7
김향일,1981-04-05,44,356838,18
김려려,1979-06-21,58,925875,5
김천균,1997-07-19,37,177987,10
장로언,1956-01-22,52,908489,9
정활신,1972-07-21,66,829033,14
심의순,1956-06-22,46,851265,17
박면우,1980-10-29,32,8017047,5
최우엽,1970-03-12,37,739720,13
이능혜,1977-09-02,21,4436249,6
김인휘,1984-06-03,57,882673,17
최귀담,1990-06-04,70,991966,15
이앵효,1983-05-14,44,26685,14
김치애,1970-11-07,25,28534782,8
이헌애,1961-05-07,45,491206,10
박심흡,1975-08-29,37,931621,19
이애두,1961-05-22,47,987879,7
이루휴,1956-08-21,33,1315002,22
심갈음,1990-06-04,54,6824470,9
박권권,1994-07-24,50,757951,2
이소완,1950-12-25,57,7712104,5
이각향,1996-11-26,29,709256,24
정방녕,1962-03-03,34,2610177,17
이샛귀,1961-09-24,24,607217,8
이환철,1949-04-13,58,96071082,4
김반빈,1972-08-22,41,920543,1
김견환,1975-08-31,34,25083,1
이경율,1975-02-15,45,617293,3
김갑량,1979-04-08,40,24375307,14
정슬령,1979-12-18,20,1937677,5
임야란,1991-08-23,32,850764,9
이낭늠,1966-10-06,26,864990,8
안붕갑,1963-11-03,30,223091,11
강초실,1975-07-04,36,232612,11
정샛녀,1969-02-18,58,209568,12
라백늘,1963-12-04,24,233148,1
박화순,1961-06-27,52,5546286,4
김철복,1970-10-02,54,1546922,14
고주남,1949-03-11,38,165052,13
양방로,1976-08-03,23,587905,16
정심말,1990-10-10,58,2286545,3
손광욱,1967-10-12,40,24943712,14
정고슬,1948-06-18,67,324360,7
김다홍,1975-04-02,24,438369,11
김삼락,1975-08-21,29,333138,18
송내님,1984-06-08,29,9277984,11
김성염,1972-05-22,67,981859,5
남웅생,1965-12-23,35,251928,12
김돈숙,1961-08-07,51,2799952,12
구어능,1985-05-17,55,46581,6
양시려,1978-11-12,57,3463291,1
박충방,1975-12-12,54,3860266,3
장왕여,1979-11-05,34,304655,2
전준좌,1966-12-14,42,480942,5
조열심,1954-09-10,34,542008,11
박손훈,1963-06-22,56,885277,9
이차해,1964-05-01,66,713868,8
이육묵,1967-11-13,24,59693,12
이나백,1961-05-09,26,414055,4
강채항,1971-10-06,30,709256,11
정담남,1957-09-18,65,3703071,15
송서갑,1980-11-27,24,28514406,12
이어배,1982-04-04,44,20437348,20
박타공,1989-09-15,66,1562918,9
정응사,1952-12-01,29,533026,1
박면우,1990-08-08,61,96071082,5
변리의,1950-11-19,49,284553,10
이애두,1968-01-14,70,219864,19
이평안,1987-03-12,53,28345067,19
김탁보,1952-03-29,44,973030,14
한낙창,1948-06-18,30,7637614,1
나덕부,1964-11-23,36,5048394,14
김중륜,1984-08-23,36,577732,20
송오비,1977-03-12,33,214712,8
김왕천,1962-07-23,46,863985,2
고주남,1996-08-31,38,840937,6
최추황,1993-06-20,59,7495439,11
황융진,1952-09-26,23,10758538,17
양귀흠,1961-08-07,45,462567,18
추이열,1990-07-28,56,4438877,5
서인달,1974-08-25,24,98099,4
성풍집,1954-07-11,24,309961,6
김장민,1956-12-07,22,6364293,13
이웅열,1967-06-05,22,729459,12
이필황,1967-09-22,42,8621945,5
양면송,1985-04-27,27,9012047,11
오부생,1982-09-29,20,729459,4
류재극,1966-01-25,30,1893555,4
고가향,1993-06-20,21,506519,10
윤회작,1994-12-17,43,8598919,5
이한유,1975-11-27,42,921528,19
강서의,1992-08-07,45,617293,18
이입의,1959-07-22,41,921528,7
김점철,1978-06-17,68,5118899,1
우환래,1980-11-27,46,407848,17
이라정,1978-01-05,23,318644,8
배왕판,1963-06-06,59,3539418,19
민겸행,1995-09-20,66,324360,5
이광생,1978-11-26,56,915346,14
강지사,1964-04-06,68,67196,10
고주남,1989-09-15,50,283148,12
배극정,1955-09-26,61,823884,7
김야돈,1974-01-29,62,929154,13
김중륜,1990-06-20,62,7275786,17
이평안,1994-12-17,42,3413716,7
정효숙,1967-08-11,23,674086,16
조이선,1981-06-13,40,429123,21
김조국,1979-06-27,58,85725,10
고번모,1987-04-30,30,527308,7
이육묵,1962-05-07,58,104651,1
이긍설,1965-06-06,40,698761,5
김애규,1964-08-10,28,1893555,3
안무효,1991-02-09,64,803698,16
장일본,1965-02-05,59,19512419,8
서마별,1949-10-27,53,664601,19
김각완,1973-10-16,64,494724,15
정담남,1982-03-25,45,3043939,7
박청노,1983-12-10,60,3885329,5
임연교,1964-04-06,63,4747603,6
김탁하,1973-12-27,67,871237,6
유갑업,1974-06-08,64,539823,15
백막섭,1962-02-10,39,334936,10
이흔성,1991-12-17,32,3290306,16
박련출,1986-04-02,52,586526,19
최래업,1953-07-24,41,465764,14
이원섭,1968-10-31,40,5577833,4
이로철,1971-10-03,42,22475259,10
장등광,1967-09-09,27,660958,3
박은국,1969-07-25,26,8483718,12
최우엽,1974-01-29,21,317036,8
최제모,1970-12-10,39,658065,10
배왕판,1981-04-15,68,658829,18
박음운,1980-12-05,54,26256297,10
김문선,1994-07-24,56,12701270,14
이개래,1994-05-16,53,656067,4
김옥염,1990-03-27,60,7275786,10
신복녀,1986-03-23,66,690985,1
김가점,1955-04-21,47,804564,5
최휘덕,1957-04-28,39,65947,5
손노량,1984-06-24,64,632274,9
하반방,1989-05-02,26,247742,8
이태협,1977-02-01,55,383135873,7
한낙창,1955-05-30,59,979055,13
문실흥,1979-05-26,47,8591724,9
박강상,1949-06-15,63,7055790,14
김궁하,1986-04-21,45,827192,10
배량선,1950-06-17,60,7736475,15
문궁트,1970-01-08,42,117950264,7
박차제,1950-05-14,58,6134758,6
최온시,1974-10-10,21,5260714,1
최둘여,1954-03-27,48,6883725,8
최종청,1967-08-11,62,1069310,8
이타융,1949-07-07,53,690985,2
김환유,1971-10-10,67,265036,9
김중륜,1955-04-21,44,590311,4
박난근,1980-06-08,29,943485,24
이희오,1985-07-02,52,478842,8
최월군,1996-05-23,36,556200,17
김민예,1990-12-17,52,29146508,8
김배위,1967-12-11,29,29666474,13
이항포,1954-08-28,51,749926,11
홍징웅,1975-08-29,39,698761,10
윤태애,1973-05-05,51,481722,15
장백포,1995-07-03,35,868878,13
김납용,1998-06-10,55,38457,24
홍앵래,1964-08-10,24,7446825,19
이국제,1990-10-24,38,840937,8
이학억,1982-09-29,50,955143,7
신복녀,1974-11-09,46,407848,12
김후명,1959-07-22,40,25413,7
김실명,1949-05-02,57,7081673,18
하점석,1999-08-29,57,8574873,15
윤욱태,1966-07-27,27,543933,11
이한유,1964-04-05,38,356927,17
최산삼,1959-09-09,51,481722,11
백재옥,1951-05-26,54,328866,1
이명준,1978-09-06,35,678544,6
이진돈,1973-10-16,24,588655,15
조왕량,1979-03-04,63,6573170,8
이환람,1965-02-08,42,245439,6
김궁님,1971-01-17,48,833592,3
김을낭,1997-07-19,27,2963613,16
김새보,1958-11-14,54,14898788,7
손흔사,1950-06-17,55,867810,13
최제손,1980-04-28,29,554057,5
임황법,1983-05-20,49,2436352,10
이익석,1973-01-17,43,827063,9
이귀방,1981-06-16,56,12701270,20
황현칠,1977-01-09,32,8017047,9
정말향,1992-01-31,46,3043939,11
김장민,1950-12-25,33,9180730,15
이욱승,1968-03-06,64,9983188,2
이광생,1994-01-01,48,8039798,3
남탁난,1958-12-26,45,542772,1
이후풍,1961-09-24,48,8691038,16
김솔제,1991-03-14,62,836106,6
고번모,1974-01-29,44,263767,4
정방활,1991-07-02,33,880439,4
김법섭,1964-08-10,71,48441,16
최리걸,1957-04-09,70,661805,19
김달항,1968-11-09,61,94896,6
이보종,1953-01-28,27,307365,2
최가면,1976-07-14,50,573120,19
조열심,1978-10-18,37,528535,7
최증왕,1970-09-29,49,383800,6
이환철,1968-09-05,41,610943,10
김비치,1959-01-15,34,5161023,2
최업육,1962-12-18,67,397856,13
이세나,1995-08-09,40,24943712,10
나익록,1988-08-20,69,8189492,8
김창택,1977-02-01,32,8017047,1
유청종,1991-02-09,40,610943,9
원평염,1968-03-30,22,136204,6
임송달,1958-08-02,69,633387,7
김숭분,1949-10-24,27,543933,10
백재옥,1992-06-15,52,6189128,16
윤융건,1990-10-24,32,329148,15
박각창,1995-07-16,62,129646,14
전내사,1955-03-04,68,52290,4
배왕판,1964-09-26,47,579364,4
임송달,1994-08-28,57,356140,16
김좌발,1950-03-30,54,647602,2
정후표,1979-11-25,37,840937,4
최휘덕,1971-10-10,45,467313,3
윤애귀,1955-03-06,29,101204,4
김나공,1973-03-26,30,6722935,14
김조단,1970-12-18,68,441424,15
김쾌천,1997-01-16,58,11921234,11
강국륜,1965-10-02,54,8660337,18
정붕찬,1977-01-09,60,907306,12
김랑풍,1990-10-24,44,12429400,5
정무언,1995-03-07,48,8691038,2
안붕갑,1970-06-17,34,394795,1
남타목,1987-03-16,23,331111,6
박매재,1971-12-08,35,675278,19
이랑덕,1994-03-22,53,258933,11
이추창,1955-06-04,25,660909,17
정무언,1959-06-19,50,268354,5
라백늘,1959-04-05,34,4046378,8
우웅모,1958-03-28,45,3916040,5
오활출,1972-07-07,57,7335791,9
김문협,1957-11-27,44,4439805,18
박동추,1965-12-23,56,659390,1
김선극,1977-03-12,42,8189142,17
송업충,1965-08-13,41,4893819,1
김이혁,1969-08-04,33,586134,2
최도호,1966-09-29,54,352034,5
최득승,1990-06-04,54,408863,12
배량선,1964-03-19,52,3532623,7
김배손,1980-06-12,24,318644,11
서지범,1955-03-28,71,823884,7
유갑업,1957-11-18,44,12429400,11
안필박,1979-01-24,64,297012,7
양갈길,1951-04-05,54,370526801,3
김좌염,1950-11-19,49,637769,19
전중화,1961-08-07,70,1742164,9
박낙아,1990-05-03,23,294685,15
차노하,1978-06-26,44,511856,5
전새휴,1991-03-23,35,5048394,20
김승란,1965-02-08,50,22475259,22
신염음,1955-12-16,48,428788,1
박설매,1962-11-15,49,861964,10
이경요,1958-12-09,48,579364,7
김훈학,1975-02-14,26,864990,12
박면우,1986-09-28,49,604665,6
황한훈,1987-01-26,48,416921,16
이교행,1971-03-25,27,8117889,8
최기지,1970-12-18,48,875157,12
최우엽,1964-04-03,61,79751,18
김달항,1979-10-19,56,804564,4
손루염,1972-10-31,45,526154,11
임관련,1996-03-30,69,178026,8
남담년,1992-02-13,28,140337,14
안필박,1949-08-22,37,405409,15
백막섭,1969-12-05,48,23150862,6
임웅,1989-11-07,61,85725,14
박한차,1954-08-28,36,21580174,15
오규극,1957-08-02,45,263767,13
권란신,1988-03-25,22,16610469,10
김염익,1967-03-28,44,4893819,5
서마별,1996-05-23,34,5438358,14
신정국,1989-08-09,52,853782,13
박지대,1965-05-29,34,868878,19
김백렬,1974-12-09,61,9434886,14
이시판,1966-01-25,70,630474,13
강온견,1960-09-11,28,4783318,1
