name,birth,trade_term,recept_balance,gender
이입의,1992-02-03,3,9658846,M
박강학,1994-01-01,7,3885329,F
박각창,1956-12-25,9,3070251,F
손루염,1966-09-29,17,527308,F
김옥후,1974-08-25,6,25872319,F
신루별,1953-06-25,2,4332436,F
신복녀,1985-01-03,9,3070251,F
박벽인,1962-03-12,3,6012616,F
최회재,1960-01-06,8,5123046,M
김서리,1961-09-19,10,52290,F
김슬휴,1993-03-31,15,9066969,F
장헌흥,1990-05-30,1,317036,M
김군죽,1986-04-02,2,23024255,M
홍춘협,1998-05-15,7,588961,F
오해민,1994-10-21,19,7185105,F
유승서,1979-06-21,15,737178,F
김삼락,1955-05-20,6,266501,M
안붕갑,1968-09-05,7,511856,F
황재회,1989-11-07,6,801181,F
김비윤,1955-04-29,17,825714,F
전새휴,1950-08-24,13,947226,F
정온국,1987-08-23,18,425508,F
성존건,1949-06-21,13,906030,F
박한차,1963-09-10,15,492838,M
양문단,1959-09-09,8,5161023,F
김래렬,1955-04-21,8,27927,M
한익래,1963-01-04,16,3539418,F
이능이,1953-03-04,20,347499,F
이탁표,1985-08-28,3,3108148,M
김중륜,1975-03-30,14,7177617,M
이풍건,1970-12-05,10,705330,M
허필애,1959-06-19,18,26801032,M
김숭분,1963-09-10,17,4483468,F
백익팔,1995-11-28,8,1937677,F
김평흠,1957-11-02,3,268686,M
박낙아,1962-12-18,1,692350,F
남타목,1996-11-28,7,4439805,F
김평람,1994-12-13,2,909789,F
유구염,1956-05-22,4,8621945,F
신종트,1983-10-03,6,823884,M
안장철,1980-08-21,17,416921,F
정복청,1963-09-15,17,521420,F
김갈포,1970-08-11,19,3701694,F
이관섭,1963-10-15,21,393070,F
허필애,1963-06-06,8,28222,M
조임삼,1949-07-06,1,963923,F
강채항,1967-10-25,17,630474,F
최행화,1973-11-03,16,876573,M
이생휘,1986-08-20,5,4582844,M
김낭돈,1960-02-05,12,249370,M
이존다,1972-11-30,15,3701694,F
황청군,1998-07-08,10,5099584,F
김환황,1967-11-13,15,1435893,F
권풍늠,1966-07-28,14,356838,M
고은환,1967-10-25,16,2563477,M
홍회표,1968-11-06,8,78431,F
염익충,1982-03-25,11,952357,M
김희풍,1980-12-03,20,2459237,F
김다도,1968-09-05,7,978837,F
이시령,1985-12-16,19,307166,M
정걸렬,1950-06-17,2,23024255,M
장용증,1969-01-10,14,329148,F
김복모,1953-01-28,9,648901,F
김치애,1993-06-03,17,904943,M
정항니,1977-05-05,9,864374,F
박돌이,1953-07-24,6,11992801,F
지설원,1966-10-03,8,925875,M
송부결,1953-07-06,10,875126,F
이존다,1976-08-03,12,7446825,F
정항니,1994-08-28,2,24943712,F
양지영,1993-06-20,5,875623,M
김원혁,1981-10-16,7,275476,F
정항니,1964-11-23,11,7081673,M
박몽윤,1967-09-19,4,545321,M
윤각관,1959-09-09,9,9434886,F
최무트,1960-01-01,3,46581,M
서마별,1982-04-25,8,206500,M
최흥샘,1986-05-13,17,800159,M
양요순,1971-11-02,6,28748062,F
김복일,1994-08-28,6,266726,M
윤판늠,1996-03-30,2,789450,M
이번빈,1985-04-27,16,25881913,M
신율대,1984-06-24,1,317036,M
윤회작,1950-01-07,2,5776936,F
염리애,1961-07-08,12,8773841,M
김련옥,1967-10-25,19,15060319,F
이루휴,1949-07-06,10,875126,M
김감효,1986-04-21,10,3146111,F
백재옥,1980-12-03,16,26844,F
우훈단,1961-12-24,12,62972422,M
임서월,1998-05-15,3,266304,F
김내내,1960-04-02,15,6512717,M
김오노,1951-07-22,4,277354,M
진돈육,1973-01-08,6,611891,F
이번빈,1961-04-30,3,531530,F
강국륜,1989-12-04,8,26620,M
김비작,1983-05-14,3,493590,F
신열겸,1984-02-01,19,972355,M
차승엽,1965-04-03,7,579364,M
김암철,1987-03-11,18,9285179,F
김휴건,1991-12-17,14,947226,M
김탁하,1967-02-21,17,425508,F
조용월,1995-12-06,12,4240661,F
김탁하,1989-09-03,12,5070377,F
김민율,1963-10-11,7,125104,M
이서원,1994-11-19,5,769310,F
정담남,1991-07-02,10,65947,M
김비작,1962-04-18,3,23207001,F
김좌염,1953-02-15,3,493590,F
김나공,1996-01-15,20,9112739,M
박화철,1994-03-16,18,743608,M
김엽붕,1970-12-10,7,957069,F
김솔제,1988-04-29,10,5237294,F
이기랑,1987-07-12,19,9382968,F
