birth,address,trade_term,recept_balance,gender
1992-02-03,서울시 금천구 시흥1동,3,9658846,F
1994-01-01,서울시 강북구 삼양동,7,3885329,F
1956-12-25,서울시 동대문구 휘경2동,9,3070251,M
1966-09-29,서울시 관악구 대학동,17,527308,M
1974-08-25,서울시 금천구 신길3동,6,25872319,M
1953-06-25,서울시 마포구 서교동,2,4332436,F
1985-01-03,서울시 서대문구 북아현동,9,3070251,M
1962-03-12,서울시 강남구 압구정동,3,6012616,M
1960-01-06,서울시 양천구 신정3동,8,5123046,M
1961-09-19,서울시 강동구 명일1동,10,52290,F
1993-03-31,서울시 성동구 사근동,15,9066969,F
1990-05-30,서울시 송파구 잠실2동,1,317036,M
1986-04-02,서울시 구로구 수궁동,2,23024255,M
1998-05-15,서울시 은평구 역촌동,7,588961,F
1994-10-21,서울시 송파구 거여2동,19,7185105,F
1979-06-21,서울시 은평구 신사1동,15,737178,F
1955-05-20,서울시 양천구 신정3동,6,266501,F
1968-09-05,서울시 관악구 삼성동,7,511856,F
1989-11-07,서울시 중랑구 상봉2동,6,801181,F
1955-04-29,서울시 중랑구 상봉2동,17,825714,F
1950-08-24,서울시 동작구 사당3동,13,947226,M
1987-08-23,서울시 서초구 양재1동,18,425508,F
1949-06-21,서울시 광진구 화양동,13,906030,F
1963-09-10,서울시 금천구 시흥5동,15,492838,M
1959-09-09,서울시 동작구 상도3동,8,5161023,F
1955-04-21,서울시 강남구 신사동,8,27927,M
1963-01-04,서울시 은평구 역촌동,16,3539418,F
1953-03-04,서울시 금천구 당산2동,20,347499,M
1985-08-28,서울시 성동구 성수2가1동,3,3108148,M
1975-03-30,서울시 구로구 구로1동,14,7177617,M
1970-12-05,서울시 관악구 남현동,10,705330,F
1959-06-19,서울시 양천구 목5동,18,26801032,M
1963-09-10,서울시 동대문구 제기동,17,4483468,M
1995-11-28,서울시 광진구 자양3동,8,1937677,M
1957-11-02,서울시 구로구 구로1동,3,268686,F
1962-12-18,서울시 송파구 문정1동,1,692350,F
1996-11-28,서울시 강서구 우장산동,7,4439805,F
1994-12-13,서울시 서대문구 홍3동,2,909789,F
1956-05-22,서울시 은평구 갈현1동,4,8621945,F
1983-10-03,서울시 강서구 화곡3동,6,823884,F
1980-08-21,서울시 서초구 반포본동,17,416921,F
1963-09-15,서울시 금천구 신길6동,17,521420,M
1970-08-11,서울시 중랑구 면목4동,19,3701694,M
1963-10-15,서울시 중랑구 묵1동,21,393070,F
1963-06-06,서울시 강북구 미아동,8,28222,F
1949-07-06,서울시 구로구 구로1동,1,963923,F
1967-10-25,서울시 양천구 신월2동,17,630474,M
1973-11-03,서울시 서초구 잠원동,16,876573,F
1986-08-20,서울시 중랑구 면목5동,5,4582844,F
1960-02-05,서울시 은평구 진관동,12,249370,F
1972-11-30,서울시 서초구 잠원동,15,3701694,F
1998-07-08,서울시 종로구 혜화동,10,5099584,F
1967-11-13,서울시 송파구 잠실6동,15,1435893,M
1966-07-28,서울시 용산구 원효로1동,14,356838,F
1967-10-25,서울시 강남구 수서동,16,2563477,F
1968-11-06,서울시 동대문구 전농2동,8,78431,M
1982-03-25,서울시 동작구 상도4동,11,952357,F
1980-12-03,서울시 관악구 행운동,20,2459237,M
1968-09-05,서울시 중구 신당5동,7,978837,F
1985-12-16,서울시 성동구 행당2동,19,307166,M
1950-06-17,서울시 광진구 자양1동,2,23024255,M
1969-01-10,서울시 강북구 송중동,14,329148,F
1953-01-28,서울시 금천구 대림2동,9,648901,F
1993-06-03,서울시 성동구 마장동,17,904943,F
1977-05-05,서울시 강남구 도곡2동,9,864374,M
1953-07-24,서울시 동작구 대방동,6,11992801,F
1966-10-03,서울시 중랑구 중화1동,8,925875,F
1953-07-06,서울시 강남구 일원본동,10,875126,M
1976-08-03,서울시 은평구 대조동,12,7446825,M
1994-08-28,서울시 강남구 도곡2동,2,24943712,M
1993-06-20,서울시 서대문구 남가좌1동,5,875623,M
1981-10-16,서울시 노원구 상계9동,7,275476,F
1992-02-20,서울시 금천구 문래동,19,950439857,F
1964-11-23,서울시 송파구 마천1동,11,7081673,F
1967-09-19,서울시 강서구 가양1동,4,545321,F
1959-09-09,서울시 은평구 신사1동,9,9434886,M
1960-01-01,서울시 강동구 암사3동,3,46581,M
1982-04-25,서울시 강서구 방화1동,8,206500,F
1986-05-13,서울시 노원구 공릉2동,17,800159,M
1971-11-02,서울시 중랑구 묵2동,6,28748062,M
1994-08-28,서울시 금천구 시흥5동,6,266726,M
1996-03-30,서울시 종로구 숭인2동,2,789450,M
1985-04-27,서울시 성북구 동선동,16,25881913,M
1984-06-24,서울시 노원구 상계1동,1,317036,F
1950-01-07,서울시 성북구 장위2동,2,5776936,F
1961-07-08,서울시 동작구 대방동,12,8773841,M
1967-10-25,서울시 강서구 가양2동,19,15060319,F
1949-07-06,서울시 서대문구 홍1동,10,875126,M
1986-04-21,서울시 도봉구 창5동,10,3146111,F
1980-12-03,서울시 은평구 응암3동,16,26844,M
1961-12-24,서울시 성북구 정릉2동,12,62972422,F
1998-05-15,서울시 관악구 은천동,3,266304,M
1960-04-02,서울시 강동구 상일동,15,6512717,M
1951-07-22,서울시 금천구 양평1동,4,277354,F
1973-01-08,서울시 금천구 대림2동,6,611891,M
1961-04-30,서울시 강동구 명일1동,3,531530,M
1989-12-04,서울시 강동구 둔촌2동,8,26620,F
1983-05-14,서울시 은평구 구산동,3,493590,M
1984-02-01,서울시 구로구 개봉2동,19,972355,F
1965-04-03,서울시 은평구 증산동,7,579364,F
1987-03-11,서울시 양천구 신정1동,18,9285179,F
1991-12-17,서울시 노원구 공릉2동,14,947226,F
1967-02-21,서울시 동대문구 답십리2동,17,425508,F
1995-12-06,서울시 도봉구 도봉2동,12,4240661,M
1989-09-03,서울시 송파구 잠실2동,12,5070377,F
1963-10-11,서울시 성동구 송정동,7,125104,M
1994-11-19,서울시 금천구 당산1동,5,769310,F
1991-07-02,서울시 구로구 고척2동,10,65947,F
1962-04-18,서울시 광진구 자양3동,3,23207001,F
1953-02-15,서울시 은평구 역촌동,3,493590,F
1996-01-15,서울시 서초구 서초4동,20,9112739,M
1994-03-16,서울시 성북구 안암동,18,743608,F
1970-12-10,서울시 송파구 잠실3동,7,957069,F
1988-04-29,서울시 동대문구 장안1동,10,5237294,F
1987-07-12,서울시 서대문구 천연동,19,9382968,F
1969-01-24,서울시 서초구 잠원동,5,136204,F
1982-04-25,서울시 금천구 여의동,12,829033,F
1957-11-18,서울시 강북구 삼양동,17,248993,F
1956-07-18,서울시 양천구 목2동,11,590311,M
1962-03-03,서울시 동작구 대방동,9,19864,F
1982-09-29,서울시 은평구 신사1동,15,689448,M
1995-08-09,서울시 금천구 시흥2동,5,3423922,M
1992-06-13,서울시 양천구 신정7동,6,9253175,M
1992-11-03,서울시 강서구 방화3동,16,6912711,F
1977-01-29,서울시 성동구 왕십리도선동,16,251564,F
1962-10-17,서울시 강남구 논현1동,9,921442,F
1976-06-11,서울시 마포구 망원1동,8,2355003,M
1949-06-21,서울시 송파구 위례동,4,245439,M
1958-04-06,서울시 송파구 송파1동,4,661805,M
1975-05-25,서울시 성동구 성수2가1동,2,2717691,F
1956-01-22,서울시 금천구 문래동,2,739720,F
1966-02-28,서울시 송파구 석촌동,19,644303,F
1990-03-27,서울시 강동구 암사3동,9,304655,F
1987-03-12,서울시 동대문구 장안1동,16,959819,M
1965-03-06,서울시 구로구 구로4동,21,588698,M
1983-10-03,서울시 중랑구 묵2동,12,318644,F
1989-08-09,서울시 관악구 미성동,11,115997,M
1964-04-19,서울시 종로구 창신3동,10,653984,M
1992-07-27,서울시 관악구 은천동,3,851265,F
1978-09-06,서울시 광진구 자양4동,18,4559120,M
1948-03-01,서울시 성동구 행당2동,6,258933,M
1957-04-09,서울시 금천구 여의동,1,8941414,F
1961-11-10,서울시 동작구 상도4동,6,6189128,F
1976-08-03,서울시 서초구 잠원동,5,429123,F
1990-03-14,서울시 성북구 정릉2동,8,26402854,F
1970-03-03,서울시 서대문구 연희동,11,973030,M
1994-04-17,서울시 금천구 양평1동,9,138285,F
