name,birth,age,gender,address,trade_term,recept_balance
신열겸,1965-11-24,29,M,서울시 강북구 번2동,2,554057
정후표,1982-09-29,57,F,서울시 관악구 행운동,17,167951
윤회작,1967-09-09,27,F,서울시 서대문구 남가좌2동,14,307365
박차제,1954-08-28,22,F,서울시 광진구 구의3동,7,682794
김극학,1952-09-26,54,M,서울시 송파구 풍납1동,19,5350147
박웅랑,1992-07-18,54,F,서울시 광진구 자양1동,15,745906
이흔성,1978-11-23,54,M,서울시 노원구 공릉2동,3,3301075
유청종,1956-12-07,45,F,서울시 광진구 군자동,22,751697
안무효,1949-08-22,69,M,서울시 은평구 증산동,14,9335927
고주남,1977-02-01,23,M,서울시 강동구 천호2동,5,554057
조의규,1963-09-10,40,F,서울시 은평구 녹번동,5,223356
김육휴,1961-08-07,50,M,서울시 마포구 망원1동,8,1837866
허필애,1975-05-25,35,F,서울시 강동구 암사3동,12,542008
이차말,1987-04-30,60,F,서울시 성북구 삼선동,17,24815465
양갈길,1955-04-21,49,M,서울시 관악구 신사동,8,4439805
장미금,1986-05-05,27,F,서울시 서대문구 남가좌2동,11,307365
정항니,1964-11-23,43,M,서울시 송파구 거여1동,9,690985
우환래,1976-09-04,55,F,서울시 서초구 반포1동,7,957069
안거희,1995-07-16,52,F,서울시 양천구 신정7동,9,449695
박묘달,1966-09-29,54,F,서울시 용산구 한강로동,12,29180982
서원명,1974-02-04,64,M,서울시 광진구 자양3동,13,48441
김배손,1996-01-15,40,F,서울시 강서구 우장산동,2,551779
김인휘,1970-01-21,42,F,서울시 은평구 갈현1동,4,8621945
강채항,1968-09-05,34,M,서울시 송파구 잠실본동,1,98099
박중근,1976-08-03,24,F,서울시 노원구 공릉2동,18,743608
최귀담,1966-09-14,39,F,서울시 중구 장충동,8,17001033
이추창,1961-09-24,36,F,서울시 강남구 세곡동,6,678544
박빛죽,1975-07-04,34,F,서울시 중랑구 면목3동,16,25083
박련렬,1961-08-07,35,F,서울시 강동구 암사3동,13,5048394
이익석,1980-06-12,58,M,서울시 서초구 양재1동,7,704030994
김배위,1965-04-24,38,F,서울시 구로구 구로2동,9,840937
김려려,1981-10-16,45,M,서울시 마포구 공덕동,14,147495
이루휴,1969-01-10,51,F,서울시 서초구 방배3동,19,3701694
이제비,1997-07-19,58,M,서울시 송파구 장지동,10,19512419
