name,birth,age,gender,address,trade_term,recept_balance
이입의,1992-02-03,39,M,서울시 금천구 시흥1동,3,9658846
박강학,1994-01-01,61,F,서울시 강북구 삼양동,7,3885329
박각창,1956-12-25,53,F,서울시 동대문구 휘경2동,9,3070251
손루염,1966-09-29,30,F,서울시 관악구 대학동,17,527308
김옥후,1974-08-25,36,M,서울시 금천구 신길3동,6,25872319
신루별,1953-06-25,47,F,서울시 마포구 서교동,2,4332436
신복녀,1985-01-03,53,M,서울시 서대문구 북아현동,9,3070251
박벽인,1962-03-12,49,F,서울시 강남구 압구정동,3,6012616
최회재,1960-01-06,50,M,서울시 양천구 신정3동,8,5123046
김서리,1961-09-19,68,M,서울시 강동구 명일1동,10,52290
김슬휴,1993-03-31,60,F,서울시 성동구 사근동,15,9066969
장헌흥,1990-05-30,20,M,서울시 송파구 잠실2동,1,317036
김군죽,1986-04-02,60,M,서울시 구로구 수궁동,2,23024255
홍춘협,1998-05-15,42,M,서울시 은평구 역촌동,7,588961
오해민,1994-10-21,54,M,서울시 송파구 거여2동,19,7185105
유승서,1979-06-21,62,M,서울시 은평구 신사1동,15,737178
김삼락,1955-05-20,23,F,서울시 양천구 신정3동,6,266501
안붕갑,1968-09-05,45,M,서울시 관악구 삼성동,7,511856
황재회,1989-11-07,23,F,서울시 중랑구 상봉2동,6,801181
김비윤,1955-04-29,46,M,서울시 중랑구 상봉2동,17,825714
전새휴,1950-08-24,54,M,서울시 동작구 사당3동,13,947226
정온국,1987-08-23,58,M,서울시 서초구 양재1동,18,425508
성존건,1949-06-21,47,M,서울시 광진구 화양동,13,906030
박한차,1963-09-10,56,M,서울시 금천구 시흥5동,15,492838
양문단,1959-09-09,47,M,서울시 동작구 상도3동,8,5161023
김래렬,1955-04-21,56,F,서울시 강남구 신사동,8,27927
한익래,1963-01-04,60,F,서울시 은평구 역촌동,16,3539418
이능이,1953-03-04,47,M,서울시 금천구 당산2동,20,347499
이탁표,1985-08-28,36,F,서울시 성동구 성수2가1동,3,3108148
김중륜,1975-03-30,45,M,서울시 구로구 구로1동,14,7177617
이풍건,1970-12-05,37,M,서울시 관악구 남현동,10,705330
허필애,1959-06-19,52,F,서울시 양천구 목5동,18,26801032
김숭분,1963-09-10,46,F,서울시 동대문구 제기동,17,4483468
백익팔,1995-11-28,25,F,서울시 광진구 자양3동,8,1937677
김평흠,1957-11-02,38,M,서울시 구로구 구로1동,3,268686
박낙아,1962-12-18,31,F,서울시 송파구 문정1동,1,692350
남타목,1996-11-28,45,M,서울시 강서구 우장산동,7,4439805
김평람,1994-12-13,29,M,서울시 서대문구 홍3동,2,909789
유구염,1956-05-22,42,F,서울시 은평구 갈현1동,4,8621945
신종트,1983-10-03,71,F,서울시 강서구 화곡3동,6,823884
안장철,1980-08-21,50,F,서울시 서초구 반포본동,17,416921
정복청,1963-09-15,60,F,서울시 금천구 신길6동,17,521420
김갈포,1970-08-11,45,M,서울시 중랑구 면목4동,19,3701694
이관섭,1963-10-15,64,M,서울시 중랑구 묵1동,21,393070
허필애,1963-06-06,53,F,서울시 강북구 미아동,8,28222
조임삼,1949-07-06,45,M,서울시 구로구 구로1동,1,963923
강채항,1967-10-25,66,F,서울시 양천구 신월2동,17,630474
최행화,1973-11-03,69,F,서울시 서초구 잠원동,16,876573
이생휘,1986-08-20,42,F,서울시 중랑구 면목5동,5,4582844
김낭돈,1960-02-05,34,F,서울시 은평구 진관동,12,249370
이존다,1972-11-30,45,M,서울시 서초구 잠원동,15,3701694
황청군,1998-07-08,69,F,서울시 종로구 혜화동,10,5099584
김환황,1967-11-13,44,M,서울시 송파구 잠실6동,15,1435893
권풍늠,1966-07-28,44,M,서울시 용산구 원효로1동,14,356838
고은환,1967-10-25,59,F,서울시 강남구 수서동,16,2563477
홍회표,1968-11-06,58,F,서울시 동대문구 전농2동,8,78431
염익충,1982-03-25,53,F,서울시 동작구 상도4동,11,952357
